placerun	phylo_entropy	quadratic	pd	awpd
4461120	1.81492	0.67784	45.4482	1.83081
4461122	2.8986	0.993509	38.7912	2.32137
4461123	2.87654	0.985908	57.8322	2.41567
4461124	1.99248	0.703828	48.0514	1.74179
4461125	2.66113	0.858634	68.6687	2.08963
4461126	2.63969	0.918832	54.7102	2.31635
4461127	2.72359	1.00275	56.2381	2.45198
4461128	2.79703	0.910788	57.3031	2.17622
4461129	2.71038	0.939457	60.2184	2.37843
4461130	2.90828	0.905128	81.2487	2.14925
4461131	2.65231	0.912261	54.4209	2.24142
4461132	1.64228	0.56731	47.1301	1.29695
4461133	2.56056	0.935816	44.2218	2.35755
4461134	3.0103	1.06188	57.8319	2.53855
4461135	2.26993	0.866498	43.9268	2.4071
4461136	1.7089	0.615794	41.4386	1.44962
4461137	2.2976	0.895276	46.2201	2.48811
4461138	2.56523	0.893775	58.1003	2.27443
4461139	2.30718	0.903599	49.8834	2.54057
4461140	2.12602	0.841555	40.8648	2.22129
4461141	2.47271	0.795299	50.2812	1.84295
4461142	2.63959	0.792816	55.3862	1.79256
4461143	2.74359	0.926737	48.782	2.19275
4461144	2.4472	0.83614	37.0661	1.96561
4461145	2.6564	0.999507	50.5534	2.4872
4461147	2.88416	0.935555	68.5594	2.21147
4461148	2.85377	1.03839	50.0589	2.57164
4461149	3.1115	1.10532	54.0065	2.59319
4461150	2.52627	1.02253	46.9441	2.73279
4461151	2.22917	0.885921	40.204	2.50579
4461152	2.40187	0.868264	50.2079	2.25009
4461153	2.35588	0.908455	48.4687	2.56181
4461154	2.70165	0.830447	69.5967	1.91053
4461155	1.55121	0.558893	32.3275	1.28089
4461156	1.72868	0.651417	34.7968	1.53085
4461157	1.48917	0.51674	35.7343	1.1618
4461158	1.49467	0.525313	36.1656	1.17732
4461159	2.67488	0.898495	63.6398	2.20143
4461160	2.85236	1.05536	50.4593	2.62623
4461161	2.15993	0.826507	48.1654	2.23718
4461162	2.83414	0.936411	65.5441	2.23081
4461163	3.05292	1.07405	56.9186	2.58101
4461164	2.63715	1.02094	45.0194	2.57664
4461165	2.81369	1.05105	56.7589	2.63503
4461166	2.53474	0.931148	49.3403	2.51591
4461167	2.83045	0.959377	61.1489	2.28593
4461169	2.66418	0.94663	52.316	2.37581
4461170	2.53205	0.836405	56.3092	1.96154
4461171	3.00769	0.989536	56.7362	2.2973
4461172	2.65729	0.922646	56.4656	2.27165
4461173	2.8063	0.888319	64.0501	2.07849
4461174	2.84573	0.978185	50.7781	2.28749
4461175	2.95905	0.987808	55.4396	2.27525
4461176	2.60077	0.857206	55.6021	1.97962
4461177	2.34904	0.83694	52.3526	2.21757
4461178	2.68744	0.88844	58.693	2.06997
4461179	2.6752	0.905567	50.9106	2.15554
4461180	2.77309	0.877191	63.975	2.0027
4461181	2.23729	0.833315	40.6733	2.05916
4461182	2.41642	0.795667	48.7263	1.81617
4461183	2.58771	0.956785	38.822	2.34282
4461184	2.74233	1.00766	41.1157	2.48635
4461185	2.87137	1.00736	49.3274	2.39204
4461186	2.51721	0.914815	44.0634	2.33999
4461187	2.19822	0.855382	36.3047	2.15003
4461188	2.41574	0.90289	41.1068	2.27194
4461189	2.66779	0.953038	48.5453	2.3145
4461190	2.50382	0.932088	42.5633	2.34783
4461191	2.71429	1.00634	40.8469	2.46713
4461192	2.46282	0.924935	39.3877	2.46611
4461193	2.67907	0.956115	38.8842	2.31991
4461194	2.6333	0.965033	39.4775	2.29771
4461195	2.82723	0.984606	47.0531	2.38664
4461197	2.59732	0.947029	42.6802	2.29276
4461198	2.41688	0.896611	46.5992	2.43027
4461199	2.47487	0.90974	51.0223	2.47103
4461200	1.97738	0.830257	41.0212	2.49635
4461201	2.26508	0.918961	31.6638	2.48239
4461202	2.48365	0.965779	40.5292	2.48582
4461203	1.99095	0.776554	32.0599	2.1787
4461204	1.69587	0.596194	39.0467	1.39214
4461205	1.32369	0.453475	39.9115	1.02279
4461206	1.36552	0.503483	39.6529	1.16935
4461207	2.4572	0.885716	51.5755	2.40869
4461208	2.64699	0.965293	53.3506	2.49694
4461209	1.77975	0.685018	36.4332	1.66393
4461210	1.75637	0.683683	39.0023	1.68692
4461211	2.44139	0.938645	47.6456	2.58033
4461212	2.39169	0.893491	48.521	2.44602
4461213	1.37824	0.472276	46.4872	1.07449
4461214	1.66533	0.611078	38.2126	1.4371
4461215	2.57794	0.871523	44.0791	2.06765
4461216	2.36703	0.779703	48.8007	1.87343
4461217	2.82774	0.97695	50.7469	2.3277
4461218	2.66875	0.93744	52.599	2.39183
4461219	3.07249	1.04966	54.151	2.39574
4461220	2.98325	1.03129	52.8625	2.35893
4461221	2.57168	0.87539	58.6968	2.13145
4461222	2.44942	0.764225	65.941	1.77863
4461223	2.69206	0.846896	72.6772	1.99918
4461224	2.63086	0.826086	66.7491	1.90953
4461225	2.38308	0.811306	58.2361	2.15365
4461226	2.35891	0.746503	59.4894	1.7421
4461227	2.53013	0.855362	60.8038	2.11382
4461228	2.45688	0.818487	60.6901	1.96758
4461229	2.63297	0.913215	55.9555	2.29952
